Code,Image_Name
B2p0391T1,20210719_KPGR_GHSpring2021__0001.tif
B2p0615T1,20210719_JONPGR_GHSpring2021__0001.tif
B2p0655T1,20210719_KPGR_GHSpring2021__0002.tif
B2p0647T1,20210719_JONPGR_GHSpring2021__0002.tif
B2p0445T1,20210719_JONPGR_GHSpring2021__0003.tif
B2p0699T1,20210719_KPGR_GHSpring2021__0003.tif
B2p0517T1,20210719_JONPGR_GHSpring2021__0004.tif
B2p0633T2,20210719_KPGR_GHSpring2021__0004.tif
B2p0689T2,20210719_JONPGR_GHSpring2021__0005.tif
B2p0701T2,20210719_KPGR_GHSpring2021__0005.tif
B2p0423T2,20210719_JONPGR_GHSpring2021__0006.tif
B2p0533T2,20210719_JONPGR_GHSpring2021__0007.tif
B2p0613T2,20210719_KPGR_GHSpring2021__0006.tif
B2p0581T2,20210719_JONPGR_GHSpring2021__0008.tif
B2p0421T3,20210719_KPGR_GHSpring2021__0007.tif
B2p0599T3,20210719_JONPGR_GHSpring2021__0009.tif
B2p0703T3,20210719_KPGR_GHSpring2021__0008.tif
B2p0371T3,20210719_KPGR_GHSpring2021__0009.tif
B2p0683T3,20210719_KPGR_GHSpring2021__0010.tif
B2p0685T3,20210719_KPGR_GHSpring2021__0011.tif
B2p0363T4,20210719_KPGR_GHSpring2021__0012.tif
B2p0489T3,20210719_JONPGR_GHSpring2021__0010.tif
B2p0649T4,20210719_JONPGR_GHSpring2021__0011.tif
B2p0597T4,20210720_PC2_PGRSpring2021__0001.tif
B2p0569T4,20210720_PC2_PGRSpring2021__0002.tif
B2p0509T4,20210720_PC2_PGRSpring2021__0003.tif
B2p0719T5,20210720_PC2_PGRSpring2021__0004.tif
B2p0677T5,20210720_PC2_PGRSpring2021__0005.tif
B2p0393T6,20210720_PC2_PGRSpring2021__0006.tif
B2p0565T6,20210720_PC2_PGRSpring2021__0007.tif
B2p0457T6,20210720_KPGR_GHSpring2021__0001.tif
B2p0621T6,20210720_PC2_PGRSpring2021__0008.tif
B2p0687T6,20210720_PC2_PGRSpring2021__0009.tif
B2p0601T7,20210720_KPGR_GHSpring2021__0002.tif
B2p0669T7,20210720_PC2_PGRSpring2021__0010.tif
B2p0705T9,20210720_KPGR_GHSpring2021__0003.tif
B2p0523T9,20210720_PC2_PGRSpring2021__0011.tif
B2p0595T9,20210720_KPGR_GHSpring2021__0004.tif
B2p0713T9,20210720_KPGR_GHSpring2021__0005.tif
B2p0401T9,20210720_PC2_PGRSpring2021__0012.tif
B2p0717T9,20210720_PC2_PGRSpring2021__0013.tif
B2p0553T9,20210720_KPGR_GHSpring2021__0006.tif
B2p0407T9,20210720_PC2_PGRSpring2021__0014.tif
B2p0519T9,20210720_KPGR_GHSpring2021__0007.tif
B3p1031T4,20210720_PC2_PGRSpring2021__0015.tif
B3p0743T4,20210720_PC2_PGRSpring2021__0016.tif
B3p0771T4,20210720_KPGR_GHSpring2021__0008.tif
B3p1033T4,20210720_PC2_PGRSpring2021__0017.tif
B3p1025T4,20210720_PC2_PGRSpring2021__0018.tif
B3p0961T4,20210720_KPGR_GHSpring2021__0009.tif
B3p0871T4,20210720_PC2_PGRSpring2021__0019.tif
B3p0819T4,20210720_KPGR_GHSpring2021__0010.tif
B3p0949T4,20210720_PC2_PGRSpring2021__0020.tif
B3p1043T1,20210720_PC2_PGRSpring2021__0021.tif
B3p0787T1,20210720_PC2_PGRSpring2021__0022.tif
B3p1019T2,20210720_KPGR_GHSpring2021__0011.tif
B3p0773T2,20210720_PC2_PGRSpring2021__0023.tif
B3p0903T2,20210720_KPGR_GHSpring2021__0012.tif
B3p0993T2,20210720_PC2_PGRSpring2021__0024.tif
B3p0781T2,20210720_KPGR_GHSpring2021__0013.tif
B3p0915T8,20210720_PC2_PGRSpring2021__0025.tif
B3p0855T8,20210720_PC2_PGRSpring2021__0026.tif
