Code,Scan_Name
S2p01T5R1,JBOPGR_Roseau2021__0001.tif
S2p02T3R1,JBOPGR_Roseau2021__0002.tif
S2p03T2R1,KPGR_Roseau2021__0001.tif
S2p05T1R1,JBOPGR_Roseau2021__0003.tif
S2p04T4R1,KPGR_Roseau2021__0002.tif
S2p06T3R2,JBOPGR_Roseau2021__0004.tif
S2p07T4R2,KPGR_Roseau2021__0003.tif
S2p08T1R2,JBOPGR_Roseau2021__0005.tif
S2p09T2R2,KPGR_Roseau2021__0004.tif
S2p10T5R2,JBOPGR_Roseau2021__0006.tif
S2p12T5R3,JBOPGR_Roseau2021__0007.tif
S2p11T2R3,KPGR_Roseau2021__0005.tif
S2p13T4R3,JBOPGR_Roseau2021__0008.tif
S2p14T3R3,JBOPGR_Roseau2021__0009.tif
S2p15T1R3,KPGR_Roseau2021__0006.tif
S2p16T4R4,JBOPGR_Roseau2021__0010.tif
S2p17T1R4,JBOPGR_Roseau2021__0011.tif
S2p18T3R4,KPGR_Roseau2021__0007.tif
S2p19T5R4,JBOPGR_Roseau2021__0012.tif
S2p20T2R4,JBOPGR_Roseau2021__0013.tif
S1p01T4R1,PC2PGR_Roseau2021__0001.tif
S1p02T1R1,JONPGR_ROSEAU2021__0001.tif
S1p03T3R1,PC2PGR_Roseau2021__0002.tif
S1p04T5R1,JONPGR_ROSEAU2021__0002.tif
S1p05T2R1,PC2PGR_Roseau2021__0003.tif
S1p06T1R2,JONPGR_ROSEAU2021__0003.tif
S1p07T2R2,PC2PGR_Roseau2021__0004.tif
S1p08T3R2,PC2PGR_Roseau2021__0005.tif
S1p09T5R2,JONPGR_ROSEAU2021__0004.tif
S1p10T4R2,PC2PGR_Roseau2021__0006.tif
S1p11T1R3,JONPGR_ROSEAU2021__0005.tif
S1p12T3R3,PC2PGR_Roseau2021__0007.tif
S1p13T2R3,JONPGR_ROSEAU2021__0006.tif
S1p14T4R3,PC2PGR_Roseau2021__0008.tif
S1p15T5R3,PC2PGR_Roseau2021__0009.tif
S1p16T3R4,JONPGR_ROSEAU2021__0007.tif
S1p17T1R4,PC2PGR_Roseau2021__0010.tif
S1p18T5R4,PC2PGR_Roseau2021__0011.tif
S1p19T4R4,JONPGR_ROSEAU2021__0008.tif
S1p20T2R4,PC2PGR_Roseau2021__0012.tif
