Plot,Code
p199,P0220
p198,P11--
p196,P18--
p189,P1702
p188,P25--
p187,P20--
p183,P0704
p178,P07--
p171,P2219
p168,P07--
p158,P2313
p152,P0915
p148,P17--
p143,P23--
p139,P1522
p138,P2222
p136,P1913
p135,P18--
p133,P2312
p132,P15--
p131,P17--
p130,P22--
p129,P17--
p126,P11--
p123,P22--
p122,P2422
p117,P07--
p108,P04--
p106,P02--
p024,P0713
p061,P1422
p399,P20--
p396,P2204
p397,P11--
p393,P1704
p387,P1005
p380,P2320
p379,P17--
p378,P09--
p376,P1524
p374,P2519
p370,P22--
p373,P22--
p369,P13--
p367,P23--
p359,P17--
p357,P10--
p356,P0701
p349,P1709
p347,P14--
p345,P14--
p341,P15--
p338,P02--
p337,P1926
p336,P0213
p335,P2220
p334,P09--
p333,P0726
p328,P07--
p326,P05--
p318,P18--
p311,P1421
p309,P0227
p300,P22--
p299,P1818
p296,P25--
p295,P2427
p290,P2310
p272,P04--
p271,P25--
p269,P1411
p268,P23--
p265,P1413
p264,P1506
p262,P1414
p258,P10--
p257,P1507
p256,P25--
p254,P0505
p246,P07--
p241,P1324
p239,P07--
p238,P05--
p236,P2305
p231,P05--
p230,P04--
p228,P11--
p220,P0211
p218,P15--
p216,P15--
p214,P1515
p211,P2225
p209,P14--
p207,P0911
p208,P1312
p206,P2201
p205,P02--
p204,P2324
p202,P23--
p201,P1122
p598,P1823
p597,P11--
p585,P07--
p578,P2311
p572,P2226
p570,P1520
p569,P23--
p564,P0513
p563,P2002
p561,P15--
p557,P0902
p549,P0518
p547,P1419
p544,P0922
p543,P04--
p540,P02--
p539,P0125
p535,P1528
p532,P09--
p528,P1401
p527,P02--
p520,P1403
p519,P04--
p517,P2303
p516,P2522
p515,P23--
p514,P05--
p512,P05--
p505,P05--
p504,P11--
p499,P23--
p498,P0425
p489,P2524
p488,P1409
p486,P15--
p480,P14--
p477,P0226
p475,P02--
p469,P10--
p464,P15--
p463,P2223
p461,P2126
p456,P1417
p451,P14--
p447,P10--
p446,P0527
p444,P07--
p443,P17--
p441,P11--
p440,P2307
p439,P0901
p436,P1013
p435,P25--
p433,P18--
p432,P2314
p430,P0202
p426,P25--
p422,P1718
p418,P04--
p416,P18--
p415,P22--
p414,P01--
p413,P14--
p409,P09--
p407,P1009
p406,P0720
p404,P1828
p403,P2319
p402,P07--
p401,P20--
p798,P10--
p796,P1518
p795,P07--
p794,P14--
p779,P04--
p770,P2323
p769,P23--
p760,P07--
p759,P1101
p752,P1410
p751,P0209
p750,P2420
p745,P1018
p741,P1501
p723,P10--
p720,P22--
p719,P1418
p714,P18--
p711,P04--
p694,P1505
p681,P10--
p680,P1017
p679,P1407
p678,P1303
p676,P1711
p675,P0909
p673,P1311
p671,P04--
p669,P23--
p667,P0204
p659,P14--
p655,P2011
p652,P15--
p646,P11--
p628,P1010
p627,P0216
p625,P22--
p620,P0719
p618,P2215
p609,P15--
p003,P1812
p004,P04--
p005,P2103
p006,P23--
p010,P2218
p011,P0517
p013,P01--
p014,P1720
p016,P14--
p017,P1012
p018,P0403
p020,P1424
p021,P2316
p023,P05--
p028,P2509
p029,P10--
p030,P14--
p032,P23--
p037,P10--
p039,P2425
p045,P25--
p048,P1907
p049,P18--
p051,P1510
p052,P05--
p056,P1723
p057,P02--
p061,P1422
p062,P09--
p065,P15--
p069,P2513
p070,P2426
p071,P13--
p072,P2318
p073,P2304
p074,P13--
p075,P0101
p077,P1003
p078,P02--
p079,P2517
p080,P2527
p081,P05--
p082,P04--
p085,P25--
p087,P1426
p091,P0525
p092,P2306
p093,P1708
p095,P0117
p097,P1328
p098,P15--
p100,P11--
p201,P1122
p202,P23--
p204,P2324
p205,P02--
p207,P0911
p208,P1312
p209,P14--
p211,P2225
p213,P01--
p214,P1515
p216,P15--
p217,P18--
p218,P15--
p219,P02--
p220,P0211
p222,P04--
p223,P2321
p224,P1415
p227,P2020
p228,P11--
p230,P04--
p231,P05--
p232,P0703
p233,P1928
p234,P1827
p236,P2305
p238,P05--
p239,P07--
p246,P07--
p256,P25--
p257,P1507
p258,P10--
p259,P1016
p261,P2309
p262,P1414
p265,P1413
p268,P23--
p271,P25--
p272,P04--
p280,P18--
p283,P09--
p286,P1019
p289,P0904
p290,P2310
p291,P2114
p292,P0722
p295,P2427
p296,P25--
p298,P2528
p299,P1818
p300,P22--
p301,P2012
p302,P0910
p305,P10--
p306,P1713
p307,P1918
p309,P0227
p311,P1421
p314,P19--
p315,P0906
p316,P20--
p317,P2023
p318,P18--
p320,P0408
p326,P05--
p328,P07--
p331,P2502
p333,P0726
p334,P09--
p335,P2220
p336,P0213
p337,P1926
p338,P02--
p339,P1514
p340,P1722
p341,P15--
p343,P11--
p344,P17--
p345,P14--
p346,P2503
p347,P14--
p349,P1709
p353,P13--
p354,P1521
p356,P0701
p357,P10--
p359,P17--
p360,P1706
