DateScan,Code,Scan_Name,NotesShake
2021_07_14,p003P1812,2021_07_14\TROE2021__0001.tif,
2021_07_14,p004P04--,2021_07_14\TROE2021__0002.tif,
2021_07_14,p005P2103,2021_07_14\TROE2021__0003.tif,
2021_07_14,p006P23--,2021_07_14\TROE2021__0004.tif,
2021_07_14,p007P1404,2021_07_14\TROE2021__0005.tif,
2021_07_14,p008P2019,2021_07_14\TROE2021__0006.tif,
2021_07_14,p009P0112,2021_07_14\JONTROE2021__0001.tif,Small seed
2021_07_14,p010P2218,2021_07_14\JONTROE2021__0002.tif,
2021_07_14,p011P0517,2021_07_14\TROE2021_0001.tif,
2021_07_14,p012P1906,2021_07_14\JONTROE2021__0003.tif,
2021_07_14,p013P01--,2021_07_14\TROE2021_0002.tif,
2021_07_14,p014P1720,2021_07_14\JONTROE2021__0004.tif,
2021_07_14,p015P1011,2021_07_14\JONTROE2021__0005.tif,
2021_07_14,p016P14--,2021_07_14\TROE2021_0003.tif,
2021_07_14,p017P1012,2021_07_14\JONTROE2021__0006.tif,
2021_07_14,p018P0403,2021_07_14\TROE2021_0004.tif,
2021_07_14,p019P1903,2021_07_14\JONTROE2021__0007.tif,
2021_07_14,p020P1424,2021_07_14\TROE2021_0005.tif,
2021_07_14,p021P2316,2021_07_14\JONTROE2021__0008.tif,
2021_07_14,p022P1820,2021_07_14\TROE2021_0006.tif,
2021_07_14,p023P05--,2021_07_14\JONTROE2021__0009.tif,
2021_07_14,p024P0713,2021_07_14\JONTROE2021__0010.tif,
2021_07_14,p025P1307,2021_07_14\TROE2021_0007.tif,
2021_07_14,p026P0925,2021_07_14\JONTROE2021__0011.tif,
2021_07_14,p028P2509,2021_07_14\TROE2021_0008.tif,
2021_07_14,p029P10--,2021_07_14\JONTROE2021__0012.tif,
2021_07_14,p030P14--,2021_07_14\TROE2021_0009.tif,
2021_07_14,p031P0124,2021_07_14\JONTROE2021__0013.tif,
2021_07_14,p032P23--,2021_07_14\TROE2021_0010.tif,
2021_07_14,p033P2026,2021_07_14\TROE2021_0011.tif,
2021_07_14,p034P0714,2021_07_14\JBOTROE2021__0001.tif,
2021_07_14,p036P2104,2021_07_14\JBOTROE2021__0002.tif,
2021_07_14,p037P10--,2021_07_14\JBOTROE2021__0003.tif,
2021_07_14,p039P2425,2021_07_14\JBOTROE2021__0004.tif,mostly imature
2021_07_14,p040P2413,2021_07_14\JBOTROE2021__0005.tif,
2021_07_15,p041P1726,2021_07_15\TROE2021_0001.tif,
2021_07_15,p042P0526,2021_07_15\ATROE2021_0001.tif,
2021_07_15,p043P2514,2021_07_15\TROE2021_0002.tif,
2021_07_15,p044P0215,2021_07_15\ATROE2021_0002.tif,
2021_07_15,p045P25--,2021_07_15\ATROE2021_0003.tif,
2021_07_15,p046P1021,2021_07_15\ATROE2021_0004.tif,
2021_07_15,p047P0508,2021_07_15\ATROE2021_0005.tif,
2021_07_15,p048P1907,2021_07_15\ATROE2021_0006.tif,
2021_07_15,p049P18--,2021_07_15\ATROE2021_0007.tif,
2021_07_15,p050P0225,2021_07_15\ATROE2021_0008.tif,
2021_07_15,p051P1510,2021_07_15\ATROE2021_0009.tif,
2021_07_15,p052P05--,2021_07_15\ATROE2021_0010.tif,
2021_07_15,p053P0923,2021_07_15\ATROE2021_0011.tif,
2021_07_15,p054P1125,2021_07_15\ATROE2021_0012.tif,
2021_07_15,p055P1806,2021_07_15\ATROE2021_0013.tif,
2021_07_15,p056P1723,2021_07_15\ATROE2021_0014.tif,
2021_07_15,p057P02--,2021_07_15\ATROE2021_0015.tif,
2021_07_15,p058P0702,2021_07_15\JONTROE2021__0001.tif,
2021_07_15,p060P2116,2021_07_15\ATROE2021_0016.tif,
2021_07_15,p062P09--,2021_07_15\ATROE2021_0017.tif,
2021_07_15,p065P15--,2021_07_15\JONTROE2021__0002.tif,
2021_07_15,p066P1822,2021_07_15\ATROE2021_0018.tif,"The label is on the wrong sample, the seeds correspond to the right info (p066)"
2021_07_15,p067P1326,2021_07_15\JONTROE2021__0003.tif,"The label is on the wrong sample, the seeds correspond to the right info (p067)"
2021_07_15,p068P1323,2021_07_15\ATROE2021_0019.tif,
2021_07_15,p069P2513,2021_07_15\JONTROE2021__0004.tif,
2021_07_15,p070P2426,2021_07_15\ATROE2021_0020.tif,
2021_07_15,p071P13--,2021_07_15\JONTROE2021__0005.tif,
2021_07_15,p072P2318,2021_07_15\ATROE2021_0021.tif,
2021_07_15,p073P2304,2021_07_15\ATROE2021_0022.tif,
2021_07_15,p074P13--,2021_07_15\JONTROE2021__0006.tif,
2021_07_15,p075P0101,2021_07_15\JONTROE2021__0007.tif,
2021_07_15,p076P1924,2021_07_15\ATROE2021_0023.tif,
2021_07_15,p077P1003,2021_07_15\ATROE2021_0024.tif,
2021_07_15,p078P02--,2021_07_15\JONTROE2021__0008.tif,
2021_07_15,p079P2517,2021_07_15\ATROE2021_0025.tif,
2021_07_15,p080P2527,2021_07_15\ATROE2021_0026.tif,
2021_07_15,p081P05--,2021_07_15\ATROE2021_0027.tif,
2021_07_15,p082P04--,2021_07_15\JONTROE2021__0009.tif,
2021_07_15,p084P0903,2021_07_15\ATROE2021_0028.tif,Only small seeds
2021_07_16,p085P25--,2021_07_16\JBOTROE2021__0001.tif,
2021_07_16,p086P1406,2021_07_16\JBOTROE2021__0002.tif,
2021_07_16,p090P0418,2021_07_16\JONTROE2021__0001.tif,
2021_07_16,p091P0525,2021_07_16\JONTROE2021__0002.tif,
2021_07_16,p092P2306,2021_07_16\JBOTROE2021__0003.tif,
2021_07_16,p093P1708,2021_07_16\JONTROE2021__0003.tif,
2021_07_16,p094P1428,2021_07_16\JBOTROE2021__0004.tif,
2021_07_16,p095P0117,2021_07_16\JONTROE2021__0004.tif,
2021_07_16,p097P1328,2021_07_16\JBOTROE2021__0005.tif,"Amara forgot to put the other values, 0.473 is detached and undetached"
2021_07_16,p098P15--,2021_07_16\JONTROE2021__0005.tif,
2021_07_16,p099P1819,2021_07_16\JBOTROE2021__0006.tif,
2021_07_16,p100P11--,2021_07_16\JBOTROE2021__0007.tif,
2021_07_16,p101P2508,2021_07_16\JONTROE2021__0006.tif,
2021_07_16,p103P0510,2021_07_16\JBOTROE2021__0008.tif,
2021_07_16,p105P01--,2021_07_16\JONTROE2021__0007.tif,
2021_07_16,p106P02--,2021_07_16\JBOTROE2021__0009.tif,
2021_07_16,p107P2021,2021_07_16\JONTROE2021__0008.tif,
2021_07_16,p108P04--,2021_07_16\JBOTROE2021__0010.tif,
2021_07_16,p109P1022,2021_07_16\JONTROE2021__0009.tif,
2021_07_16,p111P1109,2021_07_16\JBOTROE2021__0011.tif,about half lost their husks
2021_07_16,p112P0221,2021_07_16\JONTROE2021__0010.tif,
2021_07_16,p113P0411,2021_07_16\JBOTROE2021__0012.tif,
2021_07_16,p114P1305,2021_07_16\JONTROE2021__0011.tif,
2021_07_16,p116P1523,2021_07_16\JONTROE2021__0012.tif,
2021_07_16,p117P07--,2021_07_16\JBOTROE2021__0013.tif,
2021_07_16,p118P2025,2021_07_16\JONTROE2021__0013.tif,
2021_07_16,p119P0214,2021_07_16\JBOTROE2021__0014.tif,
2021_07_16,p121P0912,2021_07_16\JBOTROE2021__0015.tif,
2021_07_16,p122P2422,2021_07_16\JONTROE2021__0014.tif,
2021_07_16,p124P1001,2021_07_16\JBOTROE2021__0016.tif,
2021_07_16,p125P0426,2021_07_16\JONTROE2021__0015.tif,Good retention. Selection! About 1/3 seeds lost their husk
2021_07_16,p126P11--,2021_07_16\JBOTROE2021__0017.tif,
2021_07_16,p127P1517,2021_07_16\JONTROE2021__0016.tif,lost about 3 seeds (undetached)
2021_07_16,p128P2119,2021_07_16\JBOTROE2021__0018.tif,
2021_07_16,p130P22--,2021_07_16\JONTROE2021__0017.tif,
2021_07_16,p132P15--,2021_07_16\JBOTROE2021__0019.tif,Small seeds
2021_07_16,p133P2312,2021_07_16\JONTROE2021__0018.tif,
2021_07_16,p134P0406,2021_07_16\JONTROE2021__0019.tif,
2021_07_16,p135P18--,2021_07_16\JBOTROE2021__0020.tif,
2021_07_16,p136P1913,2021_07_16\JBOTROE2021__0021.tif,
2021_07_16,p137P01--,2021_07_16\JONTROE2021__0020.tif,
2021_07_16,p138P2222,2021_07_16\JBOTROE2021__0022.tif,
2021_07_16,p139P1522,2021_07_16\JONTROE2021__0021.tif,
2021_07_16,p140P22--,2021_07_16\JBOTROE2021__0023.tif,
2021_07_16,p141P1320,2021_07_16\JONTROE2021__0022.tif,
2021_07_16,p142P2208,2021_07_16\JONTROE2021__0023.tif,about half lost their husks
2021_07_16,p143P23--,2021_07_16\JBOTROE2021__0024.tif,
2021_07_16,p144P2123,2021_07_16\JONTROE2021__0024.tif,
2021_07_16,p146P13--,2021_07_16\JBOTROE2021__0025.tif,
2021_07_16,p147P2507,2021_07_16\JONTROE2021__0025.tif,
2021_07_16,p148P17--,2021_07_16\JBOTROE2021__0026.tif,
2021_07_16,p149P0913,2021_07_16\JBOTROE2021__0027.tif,
2021_07_16,p150P1803,2021_07_16\JONTROE2021__0026.tif,
2021_07_16,p151P1525,2021_07_16\JONTROE2021__0027.tif,
2021_07_16,p152P0915,2021_07_16\JBOTROE2021__0028.tif,
2021_07_16,p153P1816,2021_07_16\JONTROE2021__0028.tif,About half lost their husk
2021_07_16,p154P0708,2021_07_16\JBOTROE2021__0029.tif,
2021_07_16,p155P1124,2021_07_16\JBOTROE2021__0030.tif,really good retension
2021_07_16,p156P2010,2021_07_16\JONTROE2021__0029.tif,
2021_07_16,p157P1511,2021_07_16\JONTROE2021__0030.tif,
2021_07_16,p158P2313,2021_07_16\JBOTROE2021__0031.tif,
2021_07_16,p159P1102,2021_07_16\JONTROE2021__0031.tif,
2021_07_16,p160P1119,2021_07_16\JBOTROE2021__0032.tif,
2021_07_16,p165P09--,2021_07_16\JONTROE2021__0032.tif,
2021_07_16,p166P2228,2021_07_16\JBOTROE2021__0033.tif,
2021_07_16,p167P2109,2021_07_16\JONTROE2021__0033.tif,
2021_07_16,p168P07--,2021_07_16\JBOTROE2021__0034.tif,
2021_07_16,p169P1402,2021_07_16\JONTROE2021__0034.tif,Unproductive
2021_07_16,p170P0218,2021_07_16\JBOTROE2021__0035.tif,
2021_07_16,p171P2219,2021_07_16\JONTROE2021__0035.tif,Whole spikelets detached during shaking
2021_07_16,p172P2207,2021_07_16\JBOTROE2021__0036.tif,
2021_07_16,p173P10--,2021_07_16\JONTROE2021__0036.tif,
2021_07_16,p174P09--,2021_07_16\JBOTROE2021__0037.tif,fairly good retension
2021_07_16,p177P0401,2021_07_16\JONTROE2021__0037.tif,
2021_07_16,p178P07--,2021_07_16\JBOTROE2021__0038.tif,
2021_07_16,p179P2203,2021_07_16\JONTROE2021__0038.tif,
2021_07_16,p183P0704,2021_07_16\JONTROE2021__0039.tif,
