Laptop,Scanner,Cable,Plugged_In,Image_Name,Original_Name
Claire,SCN1,A,Yes,ClaireSCN1_A_Yes.tif,Claire_0009.tif
Claire,SCN1,A,No,ClaireSCN1_A_No.tif,Claire_0010.tif
Claire,SCN1,B,Yes,ClaireSCN1_B_Yes.tif,Claire_0011.tif
Claire,SCN1,B,No,ClaireSCN1_B_No.tif,Claire_0012.tif
Claire,SCN2,A,Yes,ClaireSCN2_A_Yes.tif,Claire_0005.tif
Claire,SCN2,A,No,ClaireSCN2_A_No.tif,Claire_0006.tif
Claire,SCN2,B,Yes,ClaireSCN2_B_Yes.tif,Claire_0007.tif
Claire,SCN2,B,No,ClaireSCN2_B_No.tif,Claire_0008.tif
Joan,SCN1,A,Yes,JoanSCN1_A_Yes.tif,Joan_0009.tif
Joan,SCN1,A,No,JoanSCN1_A_No.tif,Joan_0010.tif
Joan,SCN1,B,Yes,JoanSCN1_B_Yes.tif,Joan_0011.tif
Joan,SCN1,B,No,JoanSCN1_B_No.tif,Joan_0012.tif
Joan,SCN2,A,Yes,JoanSCN2_A_Yes.tif,Joan_0005.tif
Joan,SCN2,A,No,JoanSCN2_A_No.tif,Joan_0006.tif
Joan,SCN2,B,Yes,JoanSCN2_B_Yes.tif,Joan_0007.tif
Joan,SCN2,B,No,JoanSCN2_B_No.tif,Joan_0008.tif
PC2,SCN1,A,Yes,PC2SCN1_A_Yes.tif,PC2_0009.tif
PC2,SCN1,A,No,PC2SCN1_A_No.tif,PC2_0010.tif
PC2,SCN1,B,Yes,PC2SCN1_B_Yes.tif,PC2_0011.tif
PC2,SCN1,B,No,PC2SCN1_B_No.tif,PC2_0012.tif
PC2,SCN2,A,Yes,PC2SCN2_A_Yes.tif,PC2_0005.tif
PC2,SCN2,A,No,PC2SCN2_A_No.tif,PC2_0006.tif
PC2,SCN2,B,Yes,PC2SCN2_B_Yes.tif,PC2_0007.tif
PC2,SCN2,B,No,PC2SCN2_B_No.tif,PC2_0008.tif
