Image_Name,Spike_Label,MatrixD
S2p01T5R1.tif,2,"[[0.         0.74485392 0.21227579 0.18625861 0.47005009 0.49818559
  1.44216173 0.80926731 0.94282721 1.2251617 ]
 [0.74485392 0.         0.57729763 0.79753682 0.28357645 0.53465086
  1.06829534 0.67398625 0.60998547 0.86142949]
 [0.21227579 0.57729763 0.         0.36451106 0.2937224  0.5005917
  1.41521317 0.81392512 0.90314623 1.19357909]
 [0.18625861 0.79753682 0.36451106 0.         0.55245048 0.41636812
  1.3403194  0.69979048 0.86300387 1.13072045]
 [0.47005009 0.28357645 0.2937224  0.55245048 0.         0.42980424
  1.21656707 0.68735458 0.71131864 0.99654439]
 [0.49818559 0.53465086 0.5005917  0.41636812 0.42980424 0.
  0.94397829 0.31671751 0.44957735 0.72742182]
 [1.44216173 1.06829534 1.41521317 1.3403194  1.21656707 0.94397829
  0.         0.64053548 0.5125859  0.22192087]
 [0.80926731 0.67398625 0.81392512 0.69979048 0.68735458 0.31671751
  0.64053548 0.         0.21330372 0.43447005]
 [0.94282721 0.60998547 0.90314623 0.86300387 0.71131864 0.44957735
  0.5125859  0.21330372 0.         0.29068763]
 [1.2251617  0.86142949 1.19357909 1.13072045 0.99654439 0.72742182
  0.22192087 0.43447005 0.29068763 0.        ]]"
S2p01T5R1.tif,3,"[[0.         0.21662834 0.14104454 0.30206202 0.07209031 0.40225662
  0.04195648 0.49382072 0.10916083 0.26161675 0.18650946 0.34573997
  0.56811398 0.65452415 0.60399138 0.69500204 0.76568277 0.88995979]
 [0.21662834 0.         0.07575783 0.08543463 0.14463986 0.1857053
  0.17706861 0.27728887 0.10984749 0.04669499 0.03431971 0.12948278
  0.3515954  0.43802426 0.38760616 0.4786192  0.5492339  0.67354772]
 [0.14104454 0.07575783 0.         0.16111955 0.06896881 0.26122582
  0.10132924 0.35278101 0.0351158  0.12065446 0.04625569 0.20470037
  0.42707119 0.51347973 0.46295363 0.55396661 0.62464049 0.74892283]
 [0.30206202 0.08543463 0.16111955 0.         0.23005459 0.10036029
  0.26233257 0.19192665 0.19472228 0.04290773 0.11711289 0.045056
  0.26622943 0.35266037 0.3023287  0.39332403 0.46389054 0.58821562]
 [0.07209031 0.14463986 0.06896881 0.23005459 0.         0.33019444
  0.03339139 0.42174913 0.03821315 0.18953058 0.11450597 0.27365231
  0.49603762 0.58244326 0.5319023  0.62291235 0.69359564 0.81787029]
 [0.40225662 0.1857053  0.26122582 0.10036029 0.33019444 0.
  0.36221933 0.09158366 0.29435549 0.14108271 0.21645259 0.05690005
  0.16589039 0.25232026 0.20197147 0.29296378 0.3635395  0.48786125]
 [0.04195648 0.17706861 0.10132924 0.26233257 0.03339139 0.36221933
  0.         0.45368932 0.06804497 0.22124774 0.14589761 0.30550788
  0.52792759 0.61428123 0.56363971 0.65461688 0.72534771 0.8495606 ]
 [0.49382072 0.27728887 0.35278101 0.19192665 0.42174913 0.09158366
  0.45368932 0.         0.38576329 0.23245727 0.30784135 0.14818476
  0.07430679 0.16073732 0.11049895 0.20143178 0.271964   0.3962902 ]
 [0.10916083 0.10984749 0.0351158  0.19472228 0.03821315 0.29435549
  0.06804497 0.38576329 0.         0.15330669 0.0779222  0.23758058
  0.4599726  0.54630238 0.49563631 0.5866025  0.65734132 0.78153908]
 [0.26161675 0.04669499 0.12065446 0.04290773 0.18953058 0.14108271
  0.22124774 0.23245727 0.15330669 0.         0.07538611 0.08427392
  0.30668061 0.39303687 0.34242381 0.43342097 0.50413093 0.62837769]
 [0.18650946 0.03431971 0.04625569 0.11711289 0.11450597 0.21645259
  0.14589761 0.30784135 0.0779222  0.07538611 0.         0.15965974
  0.38205256 0.4683906  0.41774212 0.5087213  0.57945019 0.70366844]
 [0.34573997 0.12948278 0.20470037 0.045056   0.27365231 0.05690005
  0.30550788 0.14818476 0.23758058 0.08427392 0.15965974 0.
  0.2224251  0.3088055  0.25825328 0.34926679 0.41994335 0.54422249]
 [0.56811398 0.3515954  0.42707119 0.26622943 0.49603762 0.16589039
  0.52792759 0.07430679 0.4599726  0.30668061 0.38205256 0.2224251
  0.         0.08643122 0.03666541 0.12721312 0.1976667  0.32199602]
 [0.65452415 0.43802426 0.51347973 0.35266037 0.58244326 0.25232026
  0.61428123 0.16073732 0.54630238 0.39303687 0.4683906  0.3088055
  0.08643122 0.         0.05090544 0.04119355 0.11124815 0.23557729]
 [0.60399138 0.38760616 0.46295363 0.3023287  0.5319023  0.20197147
  0.56363971 0.11049895 0.49563631 0.34242381 0.41774212 0.25825328
  0.03666541 0.05090544 0.         0.09101624 0.16170866 0.28596921]
 [0.69500204 0.4786192  0.55396661 0.39332403 0.62291235 0.29296378
  0.65461688 0.20143178 0.5866025  0.43342097 0.5087213  0.34926679
  0.12721312 0.04119355 0.09101624 0.         0.07077598 0.19495839]
 [0.76568277 0.5492339  0.62464049 0.46389054 0.69359564 0.3635395
  0.72534771 0.271964   0.65734132 0.50413093 0.57945019 0.41994335
  0.1976667  0.11124815 0.16170866 0.07077598 0.         0.12433005]
 [0.88995979 0.67354772 0.74892283 0.58821562 0.81787029 0.48786125
  0.8495606  0.3962902  0.78153908 0.62837769 0.70366844 0.54422249
  0.32199602 0.23557729 0.28596921 0.19495839 0.12433005 0.        ]]"
S2p01T5R1.tif,4,"[[0.         0.07857781 0.12931736 0.20744026 0.32515913 0.41072551
  0.54715264 0.16054507 0.71289611 0.80647997 0.24660036 0.60491654
  0.47532545]
 [0.07857781 0.         0.05082059 0.12886249 0.2466357  0.33216914
  0.46865818 0.08274273 0.63444198 0.72803338 0.16836258 0.52636583
  0.39674765]
 [0.12931736 0.05082059 0.         0.07825534 0.1962389  0.28141339
  0.41785228 0.03634347 0.58362605 0.67721649 0.11877977 0.47560047
  0.34608056]
 [0.20744026 0.12886249 0.07825534 0.         0.11803184 0.20337185
  0.34000627 0.05040712 0.50585508 0.59945023 0.0429044  0.39756587
  0.2678853 ]
 [0.32515913 0.2466357  0.1962389  0.11803184 0.         0.08776361
  0.22423702 0.16535098 0.38990625 0.48339181 0.07956041 0.28089302
  0.15070211]
 [0.41072551 0.33216914 0.28141339 0.20337185 0.08776361 0.
  0.1368117  0.2521214  0.30266398 0.39623522 0.16705131 0.19419884
  0.06526988]
 [0.54715264 0.46865818 0.41785228 0.34000627 0.22423702 0.1368117
  0.         0.38892933 0.1658683  0.25945563 0.30373588 0.05869802
  0.07506024]
 [0.16054507 0.08274273 0.03634347 0.05040712 0.16535098 0.2521214
  0.38892933 0.         0.55478508 0.6483513  0.08618566 0.44607785
  0.31600271]
 [0.71289611 0.63444198 0.58362605 0.50585508 0.38990625 0.30266398
  0.1658683  0.55478508 0.         0.0935959  0.46945558 0.10958176
  0.23956785]
 [0.80647997 0.72803338 0.67721649 0.59945023 0.48339181 0.39623522
  0.25945563 0.6483513  0.0935959  0.         0.56295012 0.2026795
  0.33290136]
 [0.24660036 0.16836258 0.11877977 0.0429044  0.07956041 0.16705131
  0.30373588 0.08618566 0.46945558 0.56295012 0.         0.3604461
  0.23022853]
 [0.60491654 0.52636583 0.47560047 0.39756587 0.28089302 0.19419884
  0.05869802 0.44607785 0.10958176 0.2026795  0.3604461  0.
  0.13026094]
 [0.47532545 0.39674765 0.34608056 0.2678853  0.15070211 0.06526988
  0.07506024 0.31600271 0.23956785 0.33290136 0.23022853 0.13026094
  0.        ]]"
S2p01T5R1.tif,5,"[[0.         0.04233183 0.34208207 0.2647888  0.17337974 0.45402697
  0.57101742 0.09437145 0.60527784 0.3973796  0.5116216  0.2243179
  0.66079874 0.14485132 0.29774815 0.78716257 0.87067141]
 [0.04233183 0.         0.31046317 0.23203216 0.1385332  0.42283199
  0.54008973 0.05329432 0.57414825 0.3647021  0.47975894 0.18842372
  0.62935386 0.10500956 0.26318225 0.75592645 0.8391464 ]
 [0.34208207 0.31046317 0.         0.07883611 0.1728482  0.11237786
  0.2296414  0.26336283 0.26368698 0.05645828 0.1695567  0.12771959
  0.31896755 0.21561215 0.05696416 0.44550146 0.52882793]
 [0.2647888  0.23203216 0.07883611 0.         0.0940379  0.19109112
  0.30832272 0.18452673 0.34226189 0.13276041 0.24773327 0.05095577
  0.39735721 0.13724254 0.03708625 0.52394674 0.6071191 ]
 [0.17337974 0.1385332  0.1728482  0.0940379  0.         0.28512695
  0.40234709 0.09060049 0.43624999 0.22634077 0.34159325 0.05115811
  0.49125526 0.04737238 0.12474325 0.61785455 0.70092769]
 [0.45402697 0.42283199 0.11237786 0.19109112 0.28512695 0.
  0.11726354 0.37553409 0.15134814 0.06142118 0.05833625 0.23870046
  0.20677362 0.32705009 0.16420017 0.33321685 0.4166524 ]
 [0.57101742 0.54008973 0.2296414  0.30832272 0.40234709 0.11726354
  0.         0.49268414 0.03440498 0.17695521 0.0623268  0.35544683
  0.0901988  0.44384185 0.28042938 0.21615717 0.29976579]
 [0.09437145 0.05329432 0.26336283 0.18452673 0.09060049 0.37553409
  0.49268414 0.         0.52648744 0.31626083 0.43166154 0.13818122
  0.58131796 0.05206768 0.21354657 0.70790525 0.79080245]
 [0.60527784 0.57414825 0.26368698 0.34226189 0.43624999 0.15134814
  0.03440498 0.52648744 0.         0.2104209  0.09509248 0.38900891
  0.05579614 0.47738863 0.31382787 0.18188975 0.26543237]
 [0.3973796  0.3647021  0.05645828 0.13276041 0.22634077 0.06142118
  0.17695521 0.31626083 0.2104209  0.         0.11543162 0.1785895
  0.26506131 0.26696804 0.10347442 0.39164457 0.47460535]
 [0.5116216  0.47975894 0.1695567  0.24773327 0.34159325 0.05833625
  0.0623268  0.43166154 0.09509248 0.11543162 0.         0.29400278
  0.14966825 0.38236171 0.21876258 0.27626725 0.35938747]
 [0.2243179  0.18842372 0.12771959 0.05095577 0.05115811 0.23870046
  0.35544683 0.13818122 0.38900891 0.1785895  0.29400278 0.
  0.44355538 0.08839502 0.07541761 0.57008903 0.65282191]
 [0.66079874 0.62935386 0.31896755 0.39735721 0.49125526 0.20677362
  0.0901988  0.58131796 0.05579614 0.26506131 0.14966825 0.44355538
  0.         0.53186237 0.36822127 0.12659974 0.20988124]
 [0.14485132 0.10500956 0.21561215 0.13724254 0.04737238 0.32705009
  0.44384185 0.05206768 0.47738863 0.26696804 0.38236171 0.08839502
  0.53186237 0.         0.16364136 0.65835969 0.74097585]
 [0.29774815 0.26318225 0.05696416 0.03708625 0.12474325 0.16420017
  0.28042938 0.21354657 0.31382787 0.10347442 0.21876258 0.07541761
  0.36822127 0.16364136 0.         0.49472386 0.57741155]
 [0.78716257 0.75592645 0.44550146 0.52394674 0.61785455 0.33321685
  0.21615717 0.70790525 0.18188975 0.39164457 0.27626725 0.57008903
  0.12659974 0.65835969 0.49472386 0.         0.08378498]
 [0.87067141 0.8391464  0.52882793 0.6071191  0.70092769 0.4166524
  0.29976579 0.79080245 0.26543237 0.47460535 0.35938747 0.65282191
  0.20988124 0.74097585 0.57741155 0.08378498 0.        ]]"
S2p01T5R1.tif,6,"[[0.         0.07042087 0.15561845 0.08517807 0.2698964  0.03960494
  0.11625761 0.12420175 0.04341598 0.19242694 0.38180479 0.18334333
  0.48176595 0.2207711  0.57408272 0.2627981 ]
 [0.07042087 0.         0.22581782 0.15534035 0.33977593 0.10558639
  0.18545374 0.0551712  0.03685177 0.26193232 0.45156011 0.11365961
  0.55121394 0.15165081 0.64349245 0.19477712]
 [0.15561845 0.22581782 0.         0.07047892 0.1146281  0.1223189
  0.04367855 0.27803786 0.19390745 0.0401684  0.22657047 0.337118
  0.32692864 0.37343281 0.41921856 0.41342063]
 [0.08517807 0.15534035 0.07047892 0.         0.18475254 0.05324781
  0.03331535 0.20783396 0.12391047 0.10765211 0.29668959 0.26699021
  0.39678839 0.30363159 0.48910863 0.3442657 ]
 [0.2698964  0.33977593 0.1146281  0.18475254 0.         0.23497157
  0.15459987 0.39098178 0.30677993 0.07827913 0.11195838 0.4497482
  0.21233154 0.4852711  0.30460241 0.52390617]
 [0.03960494 0.10558639 0.1223189  0.05324781 0.23497157 0.
  0.08037199 0.15604555 0.07182319 0.15682319 0.34647362 0.21497044
  0.44583373 0.25111723 0.53807363 0.2912842 ]
 [0.11625761 0.18545374 0.04367855 0.03331535 0.15459987 0.08037199
  0.         0.23640059 0.15218679 0.07650579 0.26617548 0.29524879
  0.36576929 0.33109442 0.45805989 0.37054488]
 [0.12420175 0.0551712  0.27803786 0.20783396 0.39098178 0.15604555
  0.23640059 0.         0.08422355 0.31276696 0.5023067  0.0592032
  0.60124816 0.09667601 0.69335541 0.1396069 ]
 [0.04341598 0.03685177 0.19390745 0.12391047 0.30677993 0.07182319
  0.15218679 0.08422355 0.         0.22859248 0.41819464 0.14321536
  0.51734605 0.179727   0.60952639 0.2207823 ]
 [0.19242694 0.26193232 0.0401684  0.10765211 0.07827913 0.15682319
  0.07650579 0.31276696 0.22859248 0.         0.18967049 0.37148643
  0.28935652 0.40699957 0.38166711 0.44578214]
 [0.38180479 0.45156011 0.22657047 0.29668959 0.11195838 0.34647362
  0.26617548 0.5023067  0.41819464 0.18967049 0.         0.56085614
  0.10070062 0.59592127 0.19279067 0.63373695]
 [0.18334333 0.11365961 0.337118   0.26699021 0.4497482  0.21497044
  0.29524879 0.0592032  0.14321536 0.37148643 0.56085614 0.
  0.659467   0.0385219  0.751459   0.08308613]
 [0.48176595 0.55121394 0.32692864 0.39678839 0.21233154 0.44583373
  0.36576929 0.60124816 0.51734605 0.28935652 0.10070062 0.659467
  0.         0.69395735 0.09232066 0.73083832]
 [0.2207711  0.15165081 0.37343281 0.30363159 0.4852711  0.25111723
  0.33109442 0.09667601 0.179727   0.40699957 0.59592127 0.0385219
  0.69395735 0.         0.78573517 0.04488331]
 [0.57408272 0.64349245 0.41921856 0.48910863 0.30460241 0.53807363
  0.45805989 0.69335541 0.60952639 0.38166711 0.19279067 0.751459
  0.09232066 0.78573517 0.         0.82222088]
 [0.2627981  0.19477712 0.41342063 0.3442657  0.52390617 0.2912842
  0.37054488 0.1396069  0.2207823  0.44578214 0.63373695 0.08308613
  0.73083832 0.04488331 0.82222088 0.        ]]"
S2p01T5R1.tif,7,"[[0.         0.08640073 0.80467035 0.18087695 0.73864162 0.6972092
  0.26252037 0.75796953 0.63137181 0.38114647 0.46715368 0.32682926
  0.55221493 0.66645946 0.60861943 0.43183323 0.52679171]
 [0.08640073 0.         0.71951993 0.09458641 0.65319408 0.61158685
  0.17614803 0.67244637 0.54549272 0.2948681  0.38095357 0.24043022
  0.4661327  0.58049016 0.52245551 0.34544777 0.44049046]
 [0.80467035 0.71951993 0.         0.62831216 0.06802634 0.11065017
  0.54594777 0.05113512 0.17829558 0.42821199 0.3429737  0.48537663
  0.2583132  0.14682858 0.20642615 0.3823828  0.28813519]
 [0.18087695 0.09458641 0.62831216 0.         0.5614636  0.51953102
  0.08259923 0.58053971 0.45292176 0.2014602  0.28769098 0.14614883
  0.37312291 0.48766619 0.4291606  0.25139829 0.34680325]
 [0.73864162 0.65319408 0.06802634 0.5614636  0.         0.04263077
  0.47898097 0.01975256 0.110298   0.36087776 0.27534538 0.41792686
  0.1904335  0.07920163 0.13849303 0.3145567  0.22012218]
 [0.6972092  0.61158685 0.11065017 0.51953102 0.04263077 0.
  0.43699142 0.06107679 0.06767401 0.31867108 0.23295569 0.37562307
  0.14788128 0.03789017 0.09609457 0.27201952 0.17749142]
 [0.26252037 0.17614803 0.54594777 0.08259923 0.47898097 0.43699142
  0.         0.49801789 0.37032778 0.11890679 0.20512528 0.06477014
  0.29053189 0.40506868 0.34662171 0.16931871 0.26440833]
 [0.75796953 0.67244637 0.05113512 0.58053971 0.01975256 0.06107679
  0.49801789 0.         0.12853562 0.37974434 0.29401984 0.43669826
  0.20885324 0.09604163 0.15587199 0.33298344 0.23812954]
 [0.63137181 0.54549272 0.17829558 0.45292176 0.110298   0.06767401
  0.37032778 0.12853562 0.         0.25169381 0.16569288 0.30842963
  0.08034    0.03555697 0.03082773 0.20445148 0.10984684]
 [0.38114647 0.2948681  0.42821199 0.2014602  0.36087776 0.31867108
  0.11890679 0.37974434 0.25169381 0.         0.08623157 0.05735123
  0.17170053 0.28627263 0.22771498 0.05212713 0.14565115]
 [0.46715368 0.38095357 0.3429737  0.28769098 0.27534538 0.23295569
  0.20512528 0.29401984 0.16569288 0.08623157 0.         0.14273686
  0.08551663 0.20009108 0.14151584 0.04063332 0.06027813]
 [0.32682926 0.24043022 0.48537663 0.14614883 0.41792686 0.37562307
  0.06477014 0.43669826 0.30842963 0.05735123 0.14273686 0.
  0.22820773 0.34273298 0.28371287 0.10533349 0.20100285]
 [0.55221493 0.4661327  0.2583132  0.37312291 0.1904335  0.14788128
  0.29053189 0.20885324 0.08034    0.17170053 0.08551663 0.22820773
  0.         0.11457749 0.05671922 0.12413915 0.0316692 ]
 [0.66645946 0.58049016 0.14682858 0.48766619 0.07920163 0.03789017
  0.40506868 0.09604163 0.03555697 0.28627263 0.20009108 0.34273298
  0.11457749 0.         0.05993776 0.23818395 0.14270163]
 [0.60861943 0.52245551 0.20642615 0.4291606  0.13849303 0.09609457
  0.34662171 0.15587199 0.03082773 0.22771498 0.14151584 0.28371287
  0.05671922 0.05993776 0.         0.17876835 0.08301632]
 [0.43183323 0.34544777 0.3823828  0.25139829 0.3145567  0.27201952
  0.16931871 0.33298344 0.20445148 0.05212713 0.04063332 0.10533349
  0.12413915 0.23818395 0.17876835 0.         0.095832  ]
 [0.52679171 0.44049046 0.28813519 0.34680325 0.22012218 0.17749142
  0.26440833 0.23812954 0.10984684 0.14565115 0.06027813 0.20100285
  0.0316692  0.14270163 0.08301632 0.095832   0.        ]]"
S2p01T5R1.tif,8,"[[0.         0.05569832 0.79631149 0.0881923  0.23843265 0.11458609
  0.60484922 0.71474679 0.36670992 0.67865308 0.47701253 0.19646203
  0.54895471 0.30304149 0.42482412 0.51231219]
 [0.05569832 0.         0.74500153 0.03262561 0.18370833 0.0591569
  0.5522962  0.66252525 0.31241265 0.62601165 0.42355369 0.14079538
  0.49541941 0.24794856 0.3705612  0.45829459]
 [0.79631149 0.74500153 0.         0.71390605 0.56614411 0.6952872
  0.19649991 0.08817122 0.4402829  0.12743884 0.32748373 0.61609464
  0.25986334 0.50853383 0.38492433 0.30033527]
 [0.0881923  0.03262561 0.71390605 0.         0.15128293 0.02870615
  0.52067054 0.63102046 0.28009762 0.59432295 0.39155908 0.10828373
  0.46336765 0.21537013 0.33824085 0.4260505 ]
 [0.23843265 0.18370833 0.56614411 0.15128293 0.         0.12975325
  0.37128338 0.48188824 0.12890701 0.44460766 0.2411192  0.0511978
  0.31266783 0.06513505 0.18701908 0.27492479]
 [0.11458609 0.0591569  0.6952872  0.02870615 0.12975325 0.
  0.50090516 0.61147077 0.25843152 0.57431227 0.37087241 0.08321443
  0.44238343 0.19223636 0.31640918 0.40440401]
 [0.60484922 0.5522962  0.19649991 0.52067054 0.37128338 0.50090516
  0.         0.11062933 0.24420392 0.07382729 0.13113413 0.42064772
  0.06477731 0.31240079 0.18843049 0.10506322]
 [0.71474679 0.66252525 0.08817122 0.63102046 0.48188824 0.61147077
  0.11062933 0.         0.35474597 0.03927214 0.24159921 0.53127231
  0.17251361 0.42289356 0.29851908 0.21284751]
 [0.36670992 0.31241265 0.4402829  0.28009762 0.12890701 0.25843152
  0.24420392 0.35474597 0.         0.31690245 0.11316628 0.17685232
  0.18409778 0.06825211 0.05814855 0.14602114]
 [0.67865308 0.62601165 0.12743884 0.59432295 0.44460766 0.57431227
  0.07382729 0.03927214 0.31690245 0.         0.20375864 0.49364971
  0.13380837 0.38491832 0.26023647 0.17398051]
 [0.47701253 0.42355369 0.32748373 0.39155908 0.2411192  0.37087241
  0.13113413 0.24159921 0.11316628 0.20375864 0.         0.28989849
  0.07195279 0.18129621 0.05784553 0.03931027]
 [0.19646203 0.14079538 0.61609464 0.10828373 0.0511978  0.08321443
  0.42064772 0.53127231 0.17685232 0.49364971 0.28989849 0.
  0.36092256 0.1096034  0.23442952 0.3223976 ]
 [0.54895471 0.49541941 0.25986334 0.46336765 0.31266783 0.44238343
  0.06477731 0.17251361 0.18409778 0.13380837 0.07195279 0.36092256
  0.         0.25171722 0.12674264 0.04051095]
 [0.30304149 0.24794856 0.50853383 0.21537013 0.06513505 0.19223636
  0.31240079 0.42289356 0.06825211 0.38491832 0.18129621 0.1096034
  0.25171722 0.         0.12502364 0.2128926 ]
 [0.42482412 0.3705612  0.38492433 0.33824085 0.18701908 0.31640918
  0.18843049 0.29851908 0.05814855 0.26023647 0.05784553 0.23442952
  0.12674264 0.12502364 0.         0.08800601]
 [0.51231219 0.45829459 0.30033527 0.4260505  0.27492479 0.40440401
  0.10506322 0.21284751 0.14602114 0.17398051 0.03931027 0.3223976
  0.04051095 0.2128926  0.08800601 0.        ]]"
S2p01T5R1.tif,9,"[[0.         0.08053023 0.15593936 0.81145166 0.23887119 0.2862804
  0.69530575 0.602438   0.37963055 0.47987772 0.34668156 0.54278444
  0.43661601]
 [0.08053023 0.         0.07552159 0.74364201 0.15839468 0.20661594
  0.62411339 0.52948471 0.30136247 0.40373515 0.2670601  0.46708158
  0.35834631]
 [0.15593936 0.07552159 0.         0.68626992 0.08391894 0.13471301
  0.56300736 0.46652352 0.23164308 0.33689457 0.19471978 0.40051537
  0.28820674]
 [0.81145166 0.74364201 0.68626992 0.         0.61455933 0.56194395
  0.13211218 0.22912017 0.46899365 0.363494   0.51260605 0.30583672
  0.4221374 ]
 [0.23887119 0.15839468 0.08391894 0.61455933 0.         0.053493
  0.48826925 0.39055272 0.15096442 0.25806564 0.11173883 0.32146662
  0.20654749]
 [0.2862804  0.20661594 0.13471301 0.56194395 0.053493   0.
  0.4350917  0.33723425 0.097621   0.20457353 0.06044513 0.26799136
  0.15367893]
 [0.69530575 0.62411339 0.56300736 0.13211218 0.48826925 0.4350917
  0.         0.09845013 0.34017731 0.23335256 0.38345785 0.17410885
  0.29133877]
 [0.602438   0.52948471 0.46652352 0.22912017 0.39055272 0.33723425
  0.09845013 0.         0.24182329 0.13491087 0.28503328 0.07740837
  0.19312297]
 [0.37963055 0.30136247 0.23164308 0.46899365 0.15096442 0.097621
  0.34017731 0.24182329 0.         0.10764945 0.04374536 0.1706928
  0.05700379]
 [0.47987772 0.40373515 0.33689457 0.363494   0.25806564 0.20457353
  0.23335256 0.13491087 0.10764945 0.         0.15036617 0.06362139
  0.05922443]
 [0.34668156 0.2670601  0.19471978 0.51260605 0.11173883 0.06044513
  0.38345785 0.28503328 0.04374536 0.15036617 0.         0.21265668
  0.09553846]
 [0.54278444 0.46708158 0.40051537 0.30583672 0.32146662 0.26799136
  0.17410885 0.07740837 0.1706928  0.06362139 0.21265668 0.
  0.11825254]
 [0.43661601 0.35834631 0.28820674 0.4221374  0.20654749 0.15367893
  0.29133877 0.19312297 0.05700379 0.05922443 0.09553846 0.11825254
  0.        ]]"
S2p01T5R1.tif,10,"[[0.         0.1366007  0.192489   0.24975548 0.30552319 0.3436648
  0.38920328 0.44112144 0.50303061 0.55693608 0.60422458 0.68039557
  0.76013189]
 [0.1366007  0.         0.056285   0.11315768 0.16908435 0.20706728
  0.25261573 0.30455912 0.3664533  0.42041239 0.46780573 0.54415275
  0.62437881]
 [0.192489   0.056285   0.         0.05783073 0.11304052 0.15145667
  0.19688515 0.24926342 0.31104645 0.36517321 0.41279139 0.48940736
  0.57023552]
 [0.24975548 0.11315768 0.05783073 0.         0.05645624 0.0939097
  0.13946388 0.19153279 0.2533761  0.30743543 0.35499621 0.43158129
  0.51243484]
 [0.30552319 0.16908435 0.11304052 0.05645624 0.         0.03943504
  0.08412402 0.13714211 0.19855656 0.25285478 0.30075125 0.37768458
  0.45938284]
 [0.3436648  0.20706728 0.15145667 0.0939097  0.03943504 0.
  0.0455893  0.09794106 0.15960682 0.2138036  0.2615816  0.33842845
  0.41999047]
 [0.38920328 0.25261573 0.19688515 0.13946388 0.08412402 0.0455893
  0.         0.05347077 0.11445127 0.16878143 0.21676434 0.29379969
  0.37590587]
 [0.44112144 0.30455912 0.24926342 0.19153279 0.13714211 0.09794106
  0.05347077 0.         0.06193642 0.11590988 0.16364216 0.24054284
  0.32246168]
 [0.50303061 0.3664533  0.31104645 0.2533761  0.19855656 0.15960682
  0.11445127 0.06193642 0.         0.05436851 0.10250178 0.17966052
  0.26243774]
 [0.55693608 0.42041239 0.36517321 0.30743543 0.25285478 0.2138036
  0.16878143 0.11590988 0.05436851 0.         0.04821647 0.12538508
  0.20849471]
 [0.60422458 0.46780573 0.41279139 0.35499621 0.30075125 0.2615816
  0.21676434 0.16364216 0.10250178 0.04821647 0.         0.07717305
  0.16039045]
 [0.68039557 0.54415275 0.48940736 0.43158129 0.37768458 0.33842845
  0.29379969 0.24054284 0.17966052 0.12538508 0.07717305 0.
  0.08388671]
 [0.76013189 0.62437881 0.57023552 0.51243484 0.45938284 0.41999047
  0.37590587 0.32246168 0.26243774 0.20849471 0.16039045 0.08388671
  0.        ]]"
S2p01T5R1.tif,11,"[[0.         0.04072364 0.15367161 0.2717546  0.83168088 0.36217008
  0.4405943  0.58202334 0.52184807 0.67913723 0.74736116 0.7817886
  0.63549578 0.71605778]
 [0.04072364 0.         0.1130934  0.23103909 0.79118825 0.32149737
  0.39987235 0.54130499 0.48115307 0.6384418  0.70669002 0.74109638
  0.59477364 0.67533712]
 [0.15367161 0.1130934  0.         0.11859874 0.68092886 0.20858435
  0.28740272 0.42915962 0.36832136 0.52663393 0.59512268 0.62928752
  0.48224179 0.56307942]
 [0.2717546  0.23103909 0.11859874 0.         0.56293558 0.0908627
  0.16887341 0.31056264 0.25018118 0.4080549  0.4765867  0.51070225
  0.36376563 0.4445023 ]
 [0.83168088 0.79118825 0.68092886 0.56293558 0.         0.47675969
  0.39697559 0.25711407 0.3232363  0.16083591 0.09465102 0.07275329
  0.21245083 0.13574459]
 [0.36217008 0.32149737 0.20858435 0.0908627  0.47675969 0.
  0.07991408 0.22172734 0.15975104 0.31964067 0.38844678 0.42206876
  0.27396032 0.35515448]
 [0.4405943  0.39987235 0.28740272 0.16887341 0.39697559 0.07991408
  0.         0.14195965 0.08230451 0.2397958  0.30856966 0.34230351
  0.1949016  0.27570187]
 [0.58202334 0.54130499 0.42915962 0.31056264 0.25711407 0.22172734
  0.14195965 0.         0.06654477 0.09796876 0.16683678 0.20035141
  0.05539976 0.13405698]
 [0.52184807 0.48115307 0.36832136 0.25018118 0.3232363  0.15975104
  0.08230451 0.06654477 0.         0.16303767 0.23172877 0.26423062
  0.11476469 0.19639041]
 [0.67913723 0.6384418  0.52663393 0.4080549  0.16083591 0.31964067
  0.2397958  0.09796876 0.16303767 0.         0.06887818 0.10266346
  0.05247573 0.04063764]
 [0.74736116 0.70669002 0.59512268 0.4765867  0.09465102 0.38844678
  0.30856966 0.16683678 0.23172877 0.06887818 0.         0.03546327
  0.11871016 0.04169056]
 [0.7817886  0.74109638 0.62928752 0.51070225 0.07275329 0.42206876
  0.34230351 0.20035141 0.26423062 0.10266346 0.03546327 0.
  0.14992222 0.06865838]
 [0.63549578 0.59477364 0.48224179 0.36376563 0.21245083 0.27396032
  0.1949016  0.05539976 0.11476469 0.05247573 0.11871016 0.14992222
  0.         0.08168506]
 [0.71605778 0.67533712 0.56307942 0.4445023  0.13574459 0.35515448
  0.27570187 0.13405698 0.19639041 0.04063764 0.04169056 0.06865838
  0.08168506 0.        ]]"
