"","CodeComb","Red_mean","Red_min","Red_max","Green_mean","Green_min","Green_max","Blue_mean","Blue_min","Blue_max","L_mean","L_min","L_max","a_mean","a_min","a_max","b_mean","b_min","b_max","H_mean","H_max","S_mean","S_max","V_mean","V_min","V_max","Red_p25","Red_p50","Red_p75","Red_Mean","Red_sd","Red_Min","Red_Max","Green_p25","Green_p50","Green_p75","Green_Mean","Green_sd","Green_Min","Green_Max","Blue_p25","Blue_p50","Blue_p75","Blue_Mean","Blue_sd","Blue_Min","Blue_Max","L_p25","L_p50","L_p75","L_Mean","L_sd","L_Min","L_Max","a_p25_pos","a_p50_pos","a_p75_pos","a_Mean_pos","a_sd_pos","a_Min_pos","a_Max_pos","a_p25_neg","a_p50_neg","a_p75_neg","a_Mean_neg","a_sd_neg","a_Min_neg","a_Max_neg","b_p25_pos","b_p50_pos","b_p75_pos","b_Mean_pos","b_sd_pos","b_Min_pos","b_Max_pos","b_p25_neg","b_p50_neg","b_p75_neg","b_Mean_neg","b_sd_neg","b_Min_neg","b_Max_neg","H_p25","H_p50","H_p75","H_Mean","H_sd","H_Min","H_Max","S_p25","S_p50","S_p75","S_Mean","S_sd","S_Min","S_Max","V_p25","V_p50","V_p75","V_Mean","V_sd","V_Min","V_Max","Red_CV","Green_CV","Blue_CV","L_CV","a_CV_pos","a_CV_neg","b_CV_pos","b_CV_neg","H_CV","S_CV","V_CV","Red_QCV","Green_QCV","Blue_QCV","L_QCV","a_QCV_pos","a_QCV_neg","b_QCV_pos","b_QCV_neg","H_QCV","S_QCV","V_QCV"
"329","p025P1307.tif_3",103.8201485322,9,249,94.8377883141722,16,236,80.56067316583,7,223,40.1620922183166,6.78365473811985,93.9891430853648,1.25068531042237,-24.0036627305257,33.5516489785795,9.50143749382828,-26.3354406570105,60.6222222351589,0.2093203669153,0.997435897435897,0.248998774865648,0.959302325581395,0.411885258217688,0.0862745098039216,0.976470588235294,72,103,133,103.8201485322,44.0425159197945,9,249,65,94,121,94.8377883141722,39.790333577598,16,236,49,78,106,80.56067316583,38.1846980115587,7,223,28.2214507181586,40.5345838257027,51.4611431339201,40.1620922183166,16.6575700080887,6.78365473811985,93.9891430853648,1.77846223098424,3.66112602489077,6.43587708359272,4.62041903747228,3.85239108375124,8.99077228222467e-05,33.5516489785795,-4.42871724103028,-2.67140444293842,-1.30460421440709,-3.10758238574391,3.85239108375124,-24.0036627305257,-1.19841012669042e-05,5.77291355446063,10.0861184312611,15.1701346432989,11.1030486535968,7.13293184074745,0.000163293833854716,60.6222222351589,-4.11173497617993,-2.8743857419403,-1.32397497831073,-2.88865999210751,7.13293184074745,-26.3354406570105,-0.000437467063085784,0.0833333333333334,0.125,0.182795698924731,0.212385302096344,0.235531770802491,0.00297619047619047,0.997435897435897,0.135135135135135,0.224242424242424,0.337837837837838,0.249217635111554,0.148213696044321,0.00520833333333331,0.959302325581395,0.286274509803922,0.407843137254902,0.525490196078431,0.411885258217688,0.169659112380432,0.0862745098039216,0.976470588235294,0.42421934992835,0.419562015151422,0.473986828945154,0.414758521979882,0.833775259886123,-1.23967464271395,0.642430026498781,-2.46928744131753,1.10898338292566,0.5947159236062,0.411908678437733,0.592233009708738,0.595744680851064,0.730769230769231,0.573329986948709,1.27212634062424,-1.1694646368061,0.931698467837974,-0.969862867461685,0.795698924731182,0.903944485025566,0.586538461538462
"365","p028P2509.tif_9",122.52701646036,10,249,107.693197179739,19,221,87.6355859198982,2,205,45.8322832826274,8.21199021651325,88.582865934965,2.68308798172343,-28.9002665910861,37.6978963023737,13.3136913973352,-25.6016958493275,59.9620585808066,0.166744695971131,0.997549019607843,0.292882257054845,0.9875,0.485107326785778,0.0941176470588235,0.976470588235294,84,124,163,122.52701646036,49.537021888534,10,249,76,108,141,107.693197179739,41.8660266765306,19,221,58,87,117,87.6355859198982,37.3507779108741,2,205,33.1010554638048,46.5234722547166,59.9155568824555,45.8322832826274,17.4732089620035,8.21199021651325,88.582865934965,3.17944512207519,5.64680092899233,8.11490953626987,6.02257501563957,3.86697294117706,9.49189637999837e-05,37.6978963023737,-5.45272572578334,-3.4047291187084,-1.70769703686763,-3.84245991269978,3.86697294117706,-28.9002665910861,-0.000136143570916847,8.22801417113389,13.8718509492894,19.7349642284448,14.4323857291519,8.11073931195508,0.000609636307546957,59.9620585808066,-4.08495935518493,-2.84695229835465,-1.26801129885378,-2.8594225496351,8.11073931195508,-25.6016958493275,-0.00023597761298344,0.0766666666666666,0.1,0.166666666666667,0.16817674140748,0.192709724408607,0.00268817204301075,0.997549019607843,0.189655172413793,0.281407035175879,0.378205128205128,0.293016233518072,0.143626207742149,0.00617283950617282,0.9875,0.337254901960784,0.490196078431373,0.63921568627451,0.485107326785778,0.189587937530751,0.0941176470588235,0.976470588235294,0.40429468797651,0.388752751082844,0.426205604935579,0.381242384418293,0.642079663787534,-1.00637951443456,0.561981883256643,-2.83649554102807,1.14587619426925,0.490164677969253,0.39081647928701,0.637096774193548,0.601851851851852,0.67816091954023,0.57636500714824,0.874028405863319,-1.09994908797221,0.829518000112329,-0.989460925621816,0.9,0.670025735758495,0.616
"506","p039P2425.tif_8",106.451328330967,4,250,98.7637792845617,16,233,81.7512696957139,6,212,41.5781947095219,6.8079855366601,93.0618793456774,0.0857161444655944,-23.0444035260849,34.9133759817667,10.736227847104,-34.1504475231187,61.9562512549906,0.168052653812847,0.996794871794872,0.243215156196945,0.959183673469388,0.421024935240159,0.0862745098039216,0.980392156862745,74,101,139,106.451328330967,44.3962356345291,4,250,72,95,127,98.7637792845617,39.1907552998167,16,233,54,75,109,81.7512696957139,36.3415160048819,6,212,30.540581216523,40.2864480077667,53.7205779757735,41.5781947095219,16.4519626265641,6.8079855366601,93.0618793456774,1.34688382017989,2.88268219292143,4.95037028073103,3.51628819048189,2.89511321585693,9.49189637999837e-05,34.9133759817667,-4.34733958057013,-2.68298492678559,-1.33793934051707,-3.07124887800738,2.89511321585693,-23.0444035260849,-0.000136143570916847,7.00013277168521,10.8344391056299,15.192355265103,11.4788941542032,6.29952598478678,0.000609636307546957,61.9562512549906,-3.30023096830844,-1.98353953852459,-0.867125027619375,-2.25188204289485,6.29952598478678,-34.1504475231187,-7.42685128174436e-05,0.0922619047619048,0.126126126126126,0.166666666666667,0.169648347202301,0.1660089963461,0.00219298245614035,0.996794871794872,0.16,0.229885057471264,0.3125,0.243466322816023,0.118164343140026,0.00558659217877093,0.959183673469388,0.298039215686275,0.4,0.545098039215686,0.421024935240159,0.17130669076246,0.0862745098039216,0.980392156862745,0.417056661768437,0.396813037975176,0.444537633973741,0.395687276504009,0.823343554061811,-0.942650150102872,0.548792061339818,-2.7974493622626,0.978547678676403,0.485341634823628,0.40688015465104,0.643564356435644,0.578947368421053,0.733333333333333,0.575379511114549,1.25004638714586,-1.1216612549734,0.756127974281648,-1.22664857111891,0.589923469387755,0.663375,0.617647058823529
"1742","p138P2222.tif_14",116.911772344451,7,246,106.656340048727,17,223,93.8719870391669,9,210,45.2085978392898,7.01336270258728,89.4694469342828,1.92209696283184,-24.4210844855861,36.9509447999002,8.65984906660868,-25.7671289441653,58.7324829580336,0.197617570948452,0.997126436781609,0.219580873420655,0.9375,0.463224994174076,0.0862745098039216,0.964705882352941,89,119,147,116.911772344451,42.3310176200999,7,246,82,110,133,106.656340048727,38.1618909453868,17,223,68,95,120,93.8719870391669,36.7709810351656,9,210,35.5255252892992,46.7061502781363,56.4424054517093,45.2085978392898,15.8819598016678,7.01336270258728,89.4694469342828,2.09440906805919,3.97936145650968,6.40585584808007,4.58704684125245,3.32877960875954,9.49189637999837e-05,36.9509447999002,-4.43283888005685,-2.62920490414775,-1.22377277997222,-3.07310514777064,3.32877960875954,-24.4210844855861,-0.000136143570916847,5.70966365132268,9.53132393034377,13.6289234591137,10.1122374924737,6.03429178495924,5.42656101498729e-05,58.7324829580336,-4.08960707412263,-2.73957338454422,-1.26942509530543,-2.88307906468261,6.03429178495924,-25.7671289441653,-7.42685128174436e-05,0.0729166666666667,0.106060606060606,0.172413793103448,0.200669257174754,0.238256182457259,0.00292397660818713,0.997126436781609,0.125925925925926,0.198275862068966,0.287671232876712,0.219762062950536,0.127906379535477,0.00549450549450547,0.9375,0.356862745098039,0.470588235294118,0.580392156862745,0.463224994174076,0.162001725480882,0.0862745098039216,0.964705882352941,0.362076605043521,0.357802367191226,0.391714101245384,0.351303967845363,0.725691217892741,-1.08319743344102,0.596731612509141,-2.09300253290957,1.18730784083071,0.582022109813678,0.349725786644412,0.487394957983193,0.463636363636364,0.547368421052632,0.447839953364805,1.08345191235844,-1.22054621723172,0.830866715439123,-1.02942377624477,0.938115763546798,0.815758939403966,0.475
"1896","p149P0913.tif_11",122.52633017107,10,236,106.697812073046,17,220,90.5152192737699,5,206,45.6182707913389,7.24728603815438,88.3519494874137,3.616239877788,-19.4767751568675,36.4486255268358,11.3085497893617,-18.844839154262,55.2892458083008,0.165240339489153,0.997395833333333,0.262383331684166,0.964788732394366,0.483736187029702,0.0862745098039216,0.925490196078431,83,126,164,122.52633017107,48.8166737266819,10,236,77,107,139,106.697812073046,40.4300340792749,17,220,63,89,118,90.5152192737699,36.3714889727701,5,206,33.2897670328351,46.3310952798283,59.5032295390542,45.6182707913389,17.0672801259123,7.24728603815438,88.3519494874137,3.49777025344014,6.00522958907662,8.27208124612167,6.101160327532,3.52311391152107,0.000101917314754285,36.4486255268358,-4.29741288295683,-2.60532817639697,-1.2759092777353,-3.00688460206643,3.52311391152107,-19.4767751568675,-0.000136143570916847,7.04059843459107,11.8494918440085,17.1061450911061,12.3941955569019,6.95001049446632,5.42656101498729e-05,55.2892458083008,-3.8690058545369,-2.47501272612766,-1.17343502985793,-2.62330699893295,6.95001049446632,-18.844839154262,-0.000198978112986303,0.0703125,0.088235294117647,0.154761904761905,0.167130759572605,0.209311752414521,0.00277777777777777,0.997395833333333,0.166666666666667,0.252631578947368,0.343669871794872,0.262634003197985,0.128136434386346,0.00555555555555554,0.964788732394366,0.333333333333333,0.494117647058824,0.643137254901961,0.483736187029702,0.187908933088631,0.0862745098039216,0.925490196078431,0.398417822997918,0.37892092905894,0.401827330968087,0.374132553247781,0.577449816491909,-1.17168244803937,0.560747203201591,-2.64933173940118,1.25238318158658,0.487889735624796,0.388453330817472,0.642857142857143,0.579439252336449,0.617977528089888,0.565785512902216,0.795025555953079,-1.15974011742356,0.849449646366444,-1.08911392504086,0.957093253968255,0.700637686965811,0.626984126984127
"1967","p154P0708.tif_3",118.491894085796,9,247,106.743253527168,18,235,90.7815946166583,6,219,45.2398041130187,8.06942451969911,92.1966828843233,2.09445659456857,-20.9380672009933,39.449191582131,10.610439427403,-21.1007481538666,62.4403330843831,0.185183091178816,0.99702380952381,0.246396761031033,0.959183673469388,0.468677886574085,0.0941176470588235,0.968627450980392,85,118,154,118.491894085796,46.5112699082462,9,247,77,107,138,106.743253527168,41.7981090506455,18,235,61,90,119,90.7815946166583,38.6129079143601,6,219,33.3432805473249,45.9223649263124,58.3670830079104,45.2398041130187,17.2397586613723,8.06942451969911,92.1966828843233,1.99902057718375,3.96001710007041,6.7659316255384,4.80398516251792,3.72159095444664,9.49189637999837e-05,39.449191582131,-3.98514853549292,-2.36560356717649,-1.12124952290032,-2.79305935528361,3.72159095444664,-20.9380672009933,-1.19841012669042e-05,6.38909889513577,10.7770695315233,16.1538655229257,12.0051930031359,7.63722591122283,5.42656101498729e-05,62.4403330843831,-4.04917062788085,-2.86591869120248,-1.2750966172444,-2.77661783026284,7.63722591122283,-21.1007481538666,-7.42685128174436e-05,0.0806451612903226,0.107142857142857,0.166666666666667,0.187346741822089,0.214579929459309,0.00282485875706218,0.99702380952381,0.135135135135135,0.22093023255814,0.333333333333333,0.246575309408591,0.146385265532468,0.00473933649289098,0.959183673469388,0.341176470588235,0.466666666666667,0.607843137254902,0.468677886574085,0.178909783840936,0.0941176470588235,0.968627450980392,0.39252701855343,0.391576119984081,0.4253385069673,0.38107500683035,0.774688269956279,-1.33244248726993,0.636160194111656,-2.75054990571024,1.14536248334162,0.593673656472627,0.381732932075633,0.584745762711864,0.570093457943925,0.644444444444444,0.54491536968401,1.20376021817429,-1.21064199104622,0.906068815759944,-0.967952796132016,0.802867383512544,0.897107633949739,0.571428571428571
"2033","p158P2313.tif_6",120.153867359381,9,237,106.078057573027,17,225,92.6236017600594,6,216,45.3439043282445,7.24728603815438,88.9953680977318,3.42769013122072,-19.159372308512,37.1807353754719,9.57634428742624,-28.7734623937809,54.8402828028328,0.181788966394891,0.997076023391813,0.239122145310424,0.954198473282443,0.47422000880792,0.0862745098039216,0.929411764705882,92,125,151,120.153867359381,42.3090710433806,9,237,82,111,133,106.078057573027,37.4890372930355,17,225,68,95,118,92.6236017600594,34.5704773592846,6,216,35.7031252167422,47.7327610134893,56.7431607159224,45.3439043282445,15.6770057113839,7.24728603815438,88.9953680977318,2.75779622283195,5.18783401114176,7.74273520399071,5.55951194433995,3.6222975404581,9.49189637999837e-05,37.1807353754719,-3.53690937307183,-2.10103459595296,-1.00181566240598,-2.48729065588712,3.6222975404581,-19.159372308512,-0.000136143570916847,6.15302650058664,10.2952802191936,14.9601187913824,10.9507228001495,6.3883011294764,0.000759601034361346,54.8402828028328,-3.99107370466286,-2.63240966101085,-1.27130452585484,-2.74586526277219,6.3883011294764,-28.7734623937809,-7.42685128174436e-05,0.0681818181818182,0.0902777777777778,0.154761904761905,0.184475795113055,0.236243537971193,0.00264550264550264,0.997076023391813,0.137931034482759,0.222222222222222,0.320652173913044,0.239385266474868,0.132252061631483,0.00507614213197982,0.954198473282443,0.364705882352941,0.494117647058824,0.596078431372549,0.47422000880792,0.163155317099485,0.0862745098039216,0.929411764705882,0.352124088664029,0.353409914837734,0.373236159060615,0.345735682527426,0.65154955627821,-1.456322578097,0.583367988219847,-2.32651660519819,1.28062078727679,0.552465335811998,0.344049837773864,0.472,0.459459459459459,0.526315789473684,0.44078815162681,0.960890223251699,-1.20659303542597,0.855449497564581,-1.03318614085455,0.959040959040959,0.822245127436282,0.468253968253968
"2590","p208P1312.tif_13",109.824540012689,9,253,99.9277040633362,17,240,82.3775344128438,5,232,42.3209252883838,7.24728603815438,95.3513387299102,1.05823110115326,-23.4955423844299,37.8944143197502,11.4168151463993,-23.1454724138091,59.7940088145616,0.189241011107425,0.997175141242938,0.267973045721755,0.965986394557823,0.434506904745292,0.0862745098039216,0.992156862745098,81,111,138,109.824540012689,42.8033242810319,9,253,74,102,124,99.9277040633362,38.4266869610309,17,240,54,79,105,82.3775344128438,37.3129951678731,5,232,31.8900005072854,43.4093778443932,52.825803923964,42.3209252883838,16.0401929171635,7.24728603815438,95.3513387299102,1.89893338201635,3.97385970026287,7.14162884456038,5.05150052991103,4.14333119506634,8.99077228222467e-05,37.8944143197502,-4.65006119722453,-2.96708735081586,-1.52263561493388,-3.29374747900713,4.14333119506634,-23.4955423844299,-1.19841012669042e-05,7.10127738574138,11.8789090865067,17.1031236053423,12.6089439303088,7.33787126667055,5.42656101498729e-05,59.7940088145616,-4.00005689024637,-2.59777627790011,-1.19280819341199,-2.7638009990825,7.33787126667055,-23.1454724138091,-0.000343766974419957,0.0864197530864197,0.127450980392157,0.166666666666667,0.191416498609205,0.212529034085774,0.00333333333333333,0.997175141242938,0.16,0.25,0.358490566037736,0.268220171421059,0.143368905771336,0.00529100529100527,0.965986394557823,0.32156862745098,0.435294117647059,0.541176470588235,0.434506904745292,0.164761435146779,0.0862745098039216,0.992156862745098,0.389742804987723,0.384544879933149,0.452951104130831,0.379013284985199,0.820217907636114,-1.25793832753545,0.581957641117913,-2.65499262396479,1.11029632048422,0.534519477083891,0.379191753565717,0.513513513513513,0.490196078431373,0.645569620253165,0.482287571402792,1.31929556098752,-1.05403893196157,0.841983564884934,-1.08063528053447,0.62962962962963,0.793962264150943,0.504504504504504
"2906","p232P0703.tif_7",121.615985308584,7,253,105.178240857313,17,243,84.0733395778568,6,223,44.9575306559984,7.73951932579706,95.817905325706,3.20062046045551,-21.1681087160429,40.7731099870895,14.134530733438,-19.9309507821311,60.9390838514772,0.155610109055921,0.997435897435897,0.304787870628732,0.957746478873239,0.481575726432733,0.0901960784313725,0.992156862745098,82,121,164,121.615985308584,50.5665848628681,7,253,75,105,137,105.178240857313,40.9386265972003,17,243,57,84,109,84.0733395778568,34.4528224984591,6,223,32.6621030517274,45.4274123291375,58.9288273879359,44.9575306559984,17.3322103539789,7.73951932579706,95.817905325706,3.71870718052109,6.00522576643192,8.47340864829771,6.37848121390417,3.80880262689567,9.49189637999837e-05,40.7731099870895,-5.27681465735869,-3.33440714566124,-1.70796712468912,-3.72808503652795,3.80880262689567,-21.1681087160429,-1.19841012669042e-05,8.25964676383335,14.4839997117714,21.0105059484259,15.0177227927259,8.46680573996705,5.42656101498729e-05,60.9390838514772,-3.61618375296648,-2.23377737811954,-1.00695973932828,-2.39711038425957,8.46680573996705,-19.9309507821311,-0.000126553212909108,0.0773809523809524,0.0962962962962963,0.166666666666667,0.15683430341314,0.170457955260468,0.00292397660818713,0.997435897435897,0.2,0.304054054054054,0.4,0.305032625052398,0.140639066902126,0.00613496932515335,0.957746478873239,0.333333333333333,0.47843137254902,0.643137254901961,0.481575726432733,0.193703705929876,0.0901960784313725,0.992156862745098,0.415788966677057,0.389230949895223,0.409794860908955,0.385524073521737,0.597133157434568,-1.02165122028517,0.56378758995792,-3.53208838256413,1.08686653079613,0.461062376124415,0.402228964829134,0.677685950413223,0.59047619047619,0.619047619047619,0.578213087417282,0.791760651923281,-1.07030946635098,0.880341027225354,-1.16807701572961,0.927197802197801,0.657777777777778,0.647540983606557
"3188","p255P2004.tif_11",118.089817580697,8,242,105.399292363911,18,224,89.422418971939,4,207,44.6898713444421,7.8543638169264,89.9105135872165,2.34380398018554,-24.223432119948,36.330721071552,10.7669552494742,-25.51180246035,57.9777619806439,0.181297480291087,0.996732026143791,0.257812132837163,0.97037037037037,0.470033194101863,0.0941176470588235,0.949019607843137,73,121,163,118.089817580697,53.1048489232291,8,242,70,106,142,105.399292363911,44.0757422168127,18,224,55,88,123,89.422418971939,40.2868777001628,4,207,29.972272673333,45.5352489678433,60.2643804065943,44.6898713444421,18.6289225842902,7.8543638169264,89.9105135872165,2.90901054417508,5.30135014012237,7.89431953168318,5.74419065735098,3.7750035447426,9.49189637999837e-05,36.330721071552,-5.77048962378855,-3.48030116969034,-1.66840797124507,-4.00240267234918,3.7750035447426,-24.223432119948,-0.000251749349283736,6.42349572290314,11.1848641333087,16.3469608747461,11.961146432637,7.28059034248694,5.42656101498729e-05,57.9777619806439,-3.84489616736787,-2.49786692766306,-1.13133760028679,-2.62729082348542,7.28059034248694,-25.51180246035,-0.000198978112986303,0.0738396624472574,0.0964912280701754,0.19047619047619,0.183120591074047,0.202427787240056,0.00245098039215685,0.996732026143791,0.160377358490566,0.242424242424242,0.335652361337293,0.258005610054097,0.134120808759389,0.00540540540540539,0.97037037037037,0.301960784313725,0.47843137254902,0.63921568627451,0.470033194101863,0.20114185203516,0.0941176470588235,0.949019607843137,0.44969879716293,0.418178729935236,0.450523237498249,0.416848874786636,0.657186324397439,-0.943184345448904,0.608686665905304,-2.77113986674241,1.10543432637896,0.519836792429695,0.427931164350002,0.743801652892562,0.679245283018868,0.772727272727273,0.665245242310048,0.94038478043124,-1.1786570910208,0.887222681792865,-1.08635033236931,1.20877856320894,0.723009386742749,0.704918032786885
